UniqID,No,Inoc,Rep,TimePt,DateHarvest,Phenology,Biomass_mg,Initial,DNA (date),Qubit_ngul,Notes
1,1,FEMI,1,1,2021-10-24,,,,,,
2,2,FEMI,2,1,2021-10-24,,,,,,
3,3,FEMI,3,1,2021-10-24,,,,,,
4,4,FEMI,4,1,2021-10-24,,,,,,
5,6,FEMI,6,2,2021-10-27,,,,,,
6,7,FEMI,7,2,2021-10-27,,,,,,
7,8,FEMI,8,2,2021-10-27,,,,,,
8,9,FEMI,9,2,2021-10-27,,,,,,
9,11,FEMI,11,3,2021-10-30,,,,,,
10,12,FEMI,12,3,2021-10-30,,,,,,
11,13,FEMI,13,3,2021-10-30,,,,,,
12,14,FEMI,14,3,2021-10-30,,,,,,
13,17,FEMI,17,4,2021-11-02,,,,,,
14,18,FEMI,18,4,2021-11-02,,,,,,
15,19,FEMI,19,4,2021-11-02,,,,,,
16,21,FEMI,21,5,2021-11-05,,,,,,
17,22,FEMI,22,5,2021-11-05,,,,,,
18,23,FEMI,23,5,2021-11-05,,,,,,
19,24,FEMI,24,5,2021-11-05,,,,,,
20,26,FEMI,26,6,2021-11-08,,,,,,
21,27,FEMI,27,6,2021-11-08,,,,,,
22,28,FEMI,28,6,2021-11-08,,,,,,
23,29,FEMI,29,6,2021-11-08,,,,,,
24,31,FEMI,31,7,2021-11-11,,,,,,
25,32,FEMI,32,7,2021-11-11,,,,,,
26,33,FEMI,33,7,2021-11-11,,,,,,
27,34,FEMI,34,7,2021-11-11,,,,,,
28,36,FEMI,36,8,2021-11-14,,,,,,
29,37,FEMI,37,8,2021-11-14,,,,,,
30,39,FEMI,39,8,2021-11-14,,,,,,
31,41,FEMI,41,9,2021-11-17,,,,,,
32,42,FEMI,42,9,2021-11-17,,,,,,
33,43,FEMI,43,9,2021-11-17,,,,,,
34,44,FEMI,44,9,2021-11-17,,,,,,
35,46,FEMI,46,10,2021-11-20,,,,,,
36,47,FEMI,47,10,2021-11-20,,,,,,
37,48,FEMI,48,10,2021-11-20,,,,,,
38,49,FEMI,49,10,2021-11-20,,,,,,
39,51,FEMI,51,11,2021-11-23,,,,,,
40,52,FEMI,52,11,2021-11-23,,,,,,
41,53,FEMI,53,11,2021-11-23,,,,,,
42,56,FEMI,56,12,2021-11-26,,,,,,
43,57,FEMI,57,12,2021-11-26,,,,,,
44,58,FEMI,58,12,2021-11-26,,,,,,
45,61,FEMI,61,13,2021-11-29,,,,,,
46,62,FEMI,62,13,2021-11-29,,,,,,
47,63,FEMI,63,13,2021-11-29,,,,,,
48,66,FEMI,66,14,2021-12-02,,,,,,
49,68,FEMI,68,14,2021-12-02,,,,,,
50,69,FEMI,69,14,2021-12-02,,,,,,
51,71,FEMI,71,15,2021-12-05,,,,,,
52,72,FEMI,72,15,2021-12-05,,,,,,
53,73,FEMI,73,15,2021-12-05,,,,,,
54,74,FEMI,74,15,2021-12-05,,,,,,
55,76,FEMI,76,16,2021-12-08,,,,,,
56,77,FEMI,77,16,2021-12-08,flower,,,,,
57,78,FEMI,78,16,2021-12-08,,,,,,
58,79,FEMI,79,16,2021-12-08,,,,,,
59,81,FEMI,81,17,2021-12-11,,,,,,
60,82,FEMI,82,17,2021-12-11,,,,,,
61,83,FEMI,83,17,2021-12-11,,,,,,
62,84,FEMI,84,17,2021-12-11,,,,,,
63,86,FEMI,86,18,2021-12-14,,,,,,
64,87,FEMI,87,18,2021-12-14,,,,,,
65,88,FEMI,88,18,2021-12-14,,,,,,
66,91,FEMI,91,19,2021-12-17,,,,,,
67,92,FEMI,92,19,2021-12-17,,,,,,
68,93,FEMI,93,19,2021-12-17,,,,,,
69,94,FEMI,94,19,2021-12-17,,,,,,
70,96,FEMI,96,20,2021-12-20,,,,,,
71,97,FEMI,97,20,2021-12-20,,,,,,
72,98,FEMI,98,20,2021-12-20,,,,,,
73,99,FEMI,99,20,2021-12-20,,,,,,
74,101,FEMI,101,21,2021-12-23,,,,,,
75,102,FEMI,102,21,2021-12-23,,,,,,
76,103,FEMI,103,21,2021-12-23,,,,,,
77,104,FEMI,104,21,2021-12-23,,,,,,
78,106,FEMI,106,22,2021-12-26,,,,,,
79,107,FEMI,107,22,2021-12-26,,,,,,
80,108,FEMI,108,22,2021-12-26,,,,,,
81,109,FEMI,109,22,2021-12-26,,,,,,
82,111,FEMI,111,23,2021-12-29,,,,,,
83,112,FEMI,112,23,2021-12-29,flower,,,,,
84,113,FEMI,113,23,2021-12-29,flower,,,,,
85,114,FEMI,114,23,2021-12-29,flower,,,,,
86,116,FEMI,116,24,2022-01-01,flower,,,,,
87,117,FEMI,117,24,2022-01-01,,,,,,
88,118,FEMI,118,24,2022-01-01,,,,,,
89,119,FEMI,119,24,2022-01-01,,,,,,
90,121,FEMI,121,25,2022-01-04,flower,,,,,
91,123,FEMI,123,25,2022-01-04,,,,,,
92,126,FEMI,126,26,2022-01-07,,,,,,
93,127,FEMI,127,26,2022-01-07,,,,,,outlier
94,128,FEMI,128,26,2022-01-07,,,,,,
95,129,FEMI,129,26,2022-01-07,,,,,,
